atomic number,element,element name,major isotope,isotope,atomic mass,mass,mass uncertainty,mass source year,mass source,abundance,abundance low,abundance high,abundance uncertainty,abundance kind,abundance source,standard,notes
1,H,hydrogen,1H,1H,1,1.007825031898,1.4e-11,2020,AME2020,0.99984426,0.99972,0.99999,,interval,CIAAW 2024,CIAAW 2024,m
1,H,hydrogen,1H,2H,2,2.014101777844,1.5e-11,2020,AME2020,0.00015574,1e-05,0.00028,,interval,CIAAW 2024,CIAAW 2024,
2,He,helium,4He,3He,3,3.01602932197,6e-11,2020,AME2020,2e-06,,,2e-06,value,CIAAW 2024,CIAAW 2024,g r
2,He,helium,4He,4He,4,4.00260325413,1.6e-10,2020,AME2020,0.999998,,,2e-06,value,CIAAW 2024,CIAAW 2024,
3,Li,lithium,7Li,6Li,6,6.01512288742,1.55e-09,2020,AME2020,0.07589,0.019,0.078,,interval,CIAAW 2024,CIAAW 2024,m
3,Li,lithium,7Li,7Li,7,7.01600343426,4.5e-09,2020,AME2020,0.92411,0.922,0.981,,interval,CIAAW 2024,CIAAW 2024,
4,Be,beryllium,9Be,9Be,9,9.012183062,8.2e-08,2020,AME2020,1.0,1.0,1.0,0.0,exact,CIAAW 2024,CIAAW 2024,
5,B,boron,11B,10B,10,10.012936862,1.6e-08,2020,AME2020,0.1982,0.189,0.204,,interval,CIAAW 2024,CIAAW 2024,m
5,B,boron,11B,11B,11,11.009305166,1.3e-08,2020,AME2020,0.8018,0.796,0.811,,interval,CIAAW 2024,CIAAW 2024,
6,C,carbon,12C,12C,12,12.0,0.0,2020,AME2020,0.988922,0.9884,0.9904,,interval,CIAAW 2024,CIAAW 2024,
6,C,carbon,12C,13C,13,13.00335483534,2.5e-10,2020,AME2020,0.011078,0.0096,0.0116,,interval,CIAAW 2024,CIAAW 2024,
7,N,nitrogen,14N,14N,14,14.00307400425,2.4e-10,2020,AME2020,0.996337,0.99578,0.99663,,interval,CIAAW 2024,CIAAW 2024,
7,N,nitrogen,14N,15N,15,15.00010889827,6.2e-10,2020,AME2020,0.003663,0.00337,0.00422,,interval,CIAAW 2024,CIAAW 2024,
8,O,oxygen,16O,16O,16,15.99491461926,3.2e-10,2020,AME2020,0.9976206,0.99738,0.99776,,interval,CIAAW 2024,CIAAW 2024,
8,O,oxygen,16O,17O,17,16.99913175595,6.9e-10,2020,AME2020,0.000379,0.000367,0.0004,,interval,CIAAW 2024,CIAAW 2024,
8,O,oxygen,16O,18O,18,17.99915961214,6.9e-10,2020,AME2020,0.0020004,0.00187,0.00222,,interval,CIAAW 2024,CIAAW 2024,
9,F,fluorine,19F,19F,19,18.99840316207,8.8e-10,2020,AME2020,1.0,1.0,1.0,0.0,exact,CIAAW 2024,CIAAW 2024,
10,Ne,neon,20Ne,20Ne,20,19.99244017525,1.65e-09,2020,AME2020,0.9048,,,0.00030000000000000003,value,CIAAW 2024,CIAAW 2024,g m
10,Ne,neon,20Ne,21Ne,21,20.993846685,4.1e-08,2020,AME2020,0.0027,,,0.0001,value,CIAAW 2024,CIAAW 2024,
10,Ne,neon,20Ne,22Ne,22,21.991385113,1.8e-08,2020,AME2020,0.0925,,,0.00030000000000000003,value,CIAAW 2024,CIAAW 2024,
11,Na,sodium,23Na,23Na,23,22.98976928195,1.94e-09,2020,AME2020,1.0,1.0,1.0,0.0,exact,CIAAW 2024,CIAAW 2024,
12,Mg,magnesium,24Mg,24Mg,24,23.985041689,1.3e-08,2020,AME2020,0.78951,0.7888,0.7905,,interval,CIAAW 2024,CIAAW 2024,
12,Mg,magnesium,24Mg,25Mg,25,24.985836966,5e-08,2020,AME2020,0.1002,0.09988,0.10034,,interval,CIAAW 2024,CIAAW 2024,
12,Mg,magnesium,24Mg,26Mg,26,25.982592972,3.1e-08,2020,AME2020,0.11029,0.1096,0.1109,,interval,CIAAW 2024,CIAAW 2024,
13,Al,aluminium,27Al,27Al,27,26.981538408,5e-08,2020,AME2020,1.0,1.0,1.0,0.0,exact,CIAAW 2024,CIAAW 2024,
14,Si,silicon,28Si,28Si,28,27.97692653442,5.5e-10,2020,AME2020,0.9222968000000001,0.92191,0.92318,,interval,CIAAW 2024,CIAAW 2024,
14,Si,silicon,28Si,29Si,29,28.97649466434,6e-10,2020,AME2020,0.046831599999999904,0.04645,0.04699,,interval,CIAAW 2024,CIAAW 2024,
14,Si,silicon,28Si,30Si,30,29.973770137,2.3e-08,2020,AME2020,0.030871600000000003,0.03037,0.0311,,interval,CIAAW 2024,CIAAW 2024,
15,P,phosphorus,31P,31P,31,30.97376199768,8e-10,2020,AME2020,1.0,1.0,1.0,0.0,exact,CIAAW 2024,CIAAW 2024,
16,S,sulfur,32S,32S,32,31.97207117354,1.41e-09,2020,AME2020,0.9504074,0.9441,0.9529,,interval,CIAAW 2024,CIAAW 2024,
16,S,sulfur,32S,33S,33,32.97145890862,1.44e-09,2020,AME2020,0.0074869,0.00729,0.00797,,interval,CIAAW 2024,CIAAW 2024,
16,S,sulfur,32S,34S,34,33.967867011,4.7e-08,2020,AME2020,0.0419599,0.0396,0.0477,,interval,CIAAW 2024,CIAAW 2024,
16,S,sulfur,32S,36S,36,35.967080692,2.01e-07,2020,AME2020,0.0001458,0.000129,0.000187,,interval,CIAAW 2024,CIAAW 2024,
17,Cl,chlorine,35Cl,35Cl,35,34.968852694,3.8e-08,2020,AME2020,0.7576470000000001,0.755,0.761,,interval,CIAAW 2024,CIAAW 2024,m
17,Cl,chlorine,35Cl,37Cl,37,36.965902573,5.5e-08,2020,AME2020,0.242353,0.239,0.245,,interval,CIAAW 2024,CIAAW 2024,
18,Ar,argon,40Ar,36Ar,36,35.967545106,2.8e-08,2020,AME2020,0.0033361000000000003,0.0,0.0207,,interval,CIAAW 2024,CIAAW 2024,g r
18,Ar,argon,40Ar,38Ar,38,37.962732102,2.09e-07,2020,AME2020,0.0006288999999999001,0.0,0.043,,interval,CIAAW 2024,CIAAW 2024,
18,Ar,argon,40Ar,40Ar,40,39.96238312204,2.34e-09,2020,AME2020,0.9960350000000001,0.936,1.0,,interval,CIAAW 2024,CIAAW 2024,
19,K,potassium,39K,39K,39,38.96370648482,4.89e-09,2020,AME2020,0.932581,,,4.4e-05,value,CIAAW 2024,CIAAW 2024,
19,K,potassium,39K,40K,40,39.963998165,6e-08,2020,AME2020,0.000117,,,1e-06,value,CIAAW 2024,CIAAW 2024,
